scenario,phase,montage,rr_percent,Z_ohm,delta_Z_from_phase00_ohm,max_relative_residual
lf_mean_myocardium,phase_08,tepc_3,92.0,34.51754320130917,-0.03154964942493166,4.363624841240782e-11
lf_mean_myocardium,phase_08,tepc_4,92.0,70.49957963374176,-0.07970199052935811,2.9897954468999145e-11
lf_mean_myocardium,phase_08,tepc_5,92.0,75.21754567597624,-0.18063340750823897,2.4210951512678685e-11
lf_mean_myocardium,phase_08,tepc_6,92.0,15.607673134624712,-0.04992478962853397,1.0011431973517463e-11
lf_mean_myocardium,phase_08,tepc_7,92.0,2.5082246356375446,-0.015095993740500191,1.2241482447361026e-11
lf_mean_myocardium,phase_08,ttrkg,92.0,235.16263301570694,-0.025136320728734063,1.6130524532290642e-10
lf_mean_blood,phase_08,tepc_2,92.0,102.11684498632788,-0.24526087531934593,2.380339778373593e-11
lf_mean_blood,phase_08,tepc_3,92.0,33.322175877954955,-0.1112063530838654,5.602353196066101e-11
lf_mean_blood,phase_08,tepc_4,92.0,63.074202615169156,-0.31152044365928333,3.159814411270783e-11
lf_mean_blood,phase_08,tepc_5,92.0,66.3841923440246,-0.7986072671051261,1.5934028474751274e-11
lf_mean_blood,phase_08,tepc_6,92.0,12.64917573011028,-0.2566323030378417,9.691303477371417e-12
lf_mean_blood,phase_08,tepc_7,92.0,1.811034076218096,-0.06322616474781828,7.943400536989401e-12
lf_mean_blood,phase_08,ttrkg,92.0,234.20125561734426,-0.09208074526182486,1.8449425066679002e-10
gabriel_myocardium,phase_09,tepc_2,101.0,103.01964976828506,-0.035943857415190905,2.3766498110969624e-11
gabriel_myocardium,phase_09,tepc_3,101.0,30.154393543196075,-0.02195058516760895,4.201885598591668e-11
gabriel_myocardium,phase_09,tepc_4,101.0,66.41986988057441,-0.041068030351198104,3.037553392121232e-11
gabriel_myocardium,phase_09,tepc_5,101.0,71.41873722877034,-0.08105110104386881,1.982584086293639e-11
gabriel_myocardium,phase_09,tepc_6,101.0,13.837466817140594,-0.028299056962985958,1.0145836122852776e-11
gabriel_myocardium,phase_09,tepc_7,101.0,2.073353447833683,-0.008915254546113971,7.55126592376829e-12
gabriel_myocardium,phase_09,ttrkg,101.0,229.03555988079117,-0.01674941453421752,1.8598582438768233e-10
gabriel_blood,phase_09,tepc_2,101.0,97.01272597232469,-0.21280490623186665,1.985458787643056e-11
gabriel_blood,phase_09,tepc_3,101.0,28.762952806061673,-0.11741753528284704,3.9254229139617856e-11
gabriel_blood,phase_09,tepc_4,101.0,59.49396755470898,-0.2503099773956663,2.6242686958832686e-11
gabriel_blood,phase_09,tepc_5,101.0,63.26206906783721,-0.5684370134699464,1.2822020680264381e-11
gabriel_blood,phase_09,tepc_6,101.0,10.784714645913423,-0.24175106698566395,8.788989533244277e-12
gabriel_blood,phase_09,tepc_7,101.0,1.4723775900259382,-0.052971335961891075,5.630888498078088e-12
gabriel_blood,phase_09,ttrkg,101.0,227.89746788387913,-0.09473437172033528,1.019855264020065e-10
lf_mean_myocardium,phase_09,tepc_2,101.0,108.51309983569865,-0.05839256973237639,4.061990331498816e-11
lf_mean_myocardium,phase_09,tepc_3,101.0,34.519341436241334,-0.02975141449276464,4.8291106300815346e-11
lf_mean_myocardium,phase_09,tepc_4,101.0,70.51407351191475,-0.06520811235637325,2.9301458030168634e-11
lf_mean_myocardium,phase_09,tepc_5,101.0,75.25933178546893,-0.1388472980155484,1.6750314256405434e-11
lf_mean_myocardium,phase_09,tepc_6,101.0,15.610329361129768,-0.04726856312347749,1.2162309449078985e-11
lf_mean_myocardium,phase_09,tepc_7,101.0,2.509858204855796,-0.013462424522248995,1.0195897407597521e-11
lf_mean_myocardium,phase_09,ttrkg,101.0,235.1632158503527,-0.024553486082965037,1.8214033110533488e-10
lf_mean_blood,phase_09,tepc_2,101.0,102.11993344217342,-0.2421724194738033,2.667399134164987e-11
lf_mean_blood,phase_09,tepc_3,101.0,33.31422080833521,-0.11916142270361263,5.214598122293682e-11
lf_mean_blood,phase_09,tepc_4,101.0,63.10139799209991,-0.28432506672852753,3.3219453288214506e-11
lf_mean_blood,phase_09,tepc_5,101.0,66.50108695544333,-0.6817126556863968,1.7900963190833454e-11
lf_mean_blood,phase_09,tepc_6,101.0,12.628625992885484,-0.2771820402626375,1.2739005309700228e-11
lf_mean_blood,phase_09,tepc_7,101.0,1.8136929916174989,-0.06056724934841551,8.599516220217475e-12
lf_mean_blood,phase_09,ttrkg,101.0,234.19485176628154,-0.0984845963245391,1.3642066554148615e-10
gabriel_myocardium,phase_10,tepc_2,111.0,103.03841074733376,-0.01718287836649779,2.1412603014083038e-11
gabriel_myocardium,phase_10,tepc_3,111.0,30.1634958480928,-0.012848280270883805,3.9421459419693374e-11
gabriel_myocardium,phase_10,tepc_4,111.0,66.4383485148258,-0.022589396099803594,3.5210277088376874e-11
gabriel_myocardium,phase_10,tepc_5,111.0,71.4530363445639,-0.04675198525031021,1.5126998613764043e-11
gabriel_myocardium,phase_10,tepc_6,111.0,13.846244833006645,-0.019521041096934866,1.0968810011478118e-11
gabriel_myocardium,phase_10,tepc_7,111.0,2.076685060965831,-0.005583641413966056,6.895021329866674e-12
gabriel_myocardium,phase_10,ttrkg,111.0,229.04153297123332,-0.010776324092063305,1.0787315958893159e-10
gabriel_blood,phase_10,tepc_2,111.0,97.10887223383764,-0.11665864471891041,1.9732883087509068e-11
gabriel_blood,phase_10,tepc_3,111.0,28.809257169129104,-0.07111317221541569,5.07448302716501e-11
gabriel_blood,phase_10,tepc_4,111.0,59.62228335778485,-0.12199417431979498,2.8887649280056675e-11
gabriel_blood,phase_10,tepc_5,111.0,63.57585282936443,-0.25465325194272737,1.7593668755995784e-11
gabriel_blood,phase_10,tepc_6,111.0,10.897991869460846,-0.12847384343824153,9.165176554752518e-12
gabriel_blood,phase_10,tepc_7,111.0,1.499724075439338,-0.025624850548491285,8.111999208801592e-12
gabriel_blood,phase_10,ttrkg,111.0,227.92464080436022,-0.06756145123924284,1.3986523278216076e-10
lf_mean_myocardium,phase_10,tepc_2,111.0,108.53859444138979,-0.0328979640412399,3.331215965111029e-11
lf_mean_myocardium,phase_10,tepc_3,111.0,34.53040357802905,-0.018689272705046278,3.9273551197717846e-11
lf_mean_myocardium,phase_10,tepc_4,111.0,70.5415692103026,-0.037712413968520764,2.704741978907711e-11
lf_mean_myocardium,phase_10,tepc_5,111.0,75.32686737169118,-0.07131171179329954,2.79790892698771e-11
lf_mean_myocardium,phase_10,tepc_6,111.0,15.628855400401571,-0.028742523851674306,1.2937324688799672e-11
lf_mean_myocardium,phase_10,tepc_7,111.0,2.5153190846459292,-0.008001544732115562,1.104951264856287e-11
lf_mean_myocardium,phase_10,ttrkg,111.0,235.17003746865782,-0.017731867777854404,1.1967405326085047e-10
lf_mean_blood,phase_10,tepc_2,111.0,102.22287012452324,-0.13923573712398252,1.952432959214464e-11
lf_mean_blood,phase_10,tepc_3,111.0,33.35827120752471,-0.07511102351411125,5.598613499648436e-11
lf_mean_blood,phase_10,tepc_4,111.0,63.238562026685436,-0.14716103214300347,3.52835727463208e-11
lf_mean_blood,phase_10,tepc_5,111.0,66.8804652338712,-0.30233437725851786,1.6851824217528527e-11
lf_mean_blood,phase_10,tepc_6,111.0,12.758246838961036,-0.14756119418708558,5.947781287263797e-12
lf_mean_blood,phase_10,tepc_7,111.0,1.8442936654170508,-0.029966575548863617,7.107097667131999e-12
lf_mean_blood,phase_10,ttrkg,111.0,234.21896576398268,-0.07437059862340334,1.6853660932685256e-10
gabriel_myocardium,phase_11,tepc_2,121.0,103.08255733910019,0.02696371339993675,2.3119015500910245e-11
gabriel_myocardium,phase_11,tepc_3,121.0,30.18003469644967,0.0036905680859860013,4.326552310215171e-11
gabriel_myocardium,phase_11,tepc_4,121.0,66.53249772951736,0.07155981859175142,2.5721176207358573e-11
gabriel_myocardium,phase_11,tepc_5,121.0,71.64141918065857,0.1416308508443649,1.7048792060883513e-11
gabriel_myocardium,phase_11,tepc_6,121.0,13.899509288434178,0.03374341433059769,9.884708884964225e-12
