request_id,kind,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,dZ_dlogrho_bone,dZ_dlogrho_heart,relative_residual,reciprocity_abs
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,60,47.8541589382042,47.6112906011898,0.718488669258195,0,0,2.13055869679412e-10,1.4210854715202e-14
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,70,36.7946424479319,35.9610132583867,0.865826409606777,0,0,2.16245838592665e-10,2.8421709430404e-14
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,80,37.9611445517818,36.8313934337933,1.11569050855868,0,0,2.26087724866926e-10,0
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,90,32.1782424043396,30.7932202162172,1.32549721649389,0,0,2.90990063900079e-10,7.105427357601e-15
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,110,29.7845196952256,28.2903128041164,1.75513220373705,0,0,2.15314826474337e-10,7.105427357601e-15
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,120,27.1678516965196,25.1072717059523,2.0405298056396,0,0,3.55421359221506e-10,0
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,130,24.8421985419772,22.7380333788405,2.12608939381437,0,0,2.52331090675358e-10,7.105427357601e-15
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,140,23.8683409512148,21.52503825683,2.39075437686953,0,0,5.24748197246109e-10,1.4210854715202e-14
50000_exhale_bones,literature,50000,exhale,bones,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,50,48.9485890650066,48.2059794869955,0.495374417744046,0.0203060237857502,0,1.23916015201799e-10,7.105427357601e-15
50000_exhale_bones,literature,50000,exhale,bones,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,60,48.1679528953955,47.8485467807178,0.765740588349658,0.0299363774398443,0,1.39457924394746e-10,7.105427357601e-15
50000_exhale_bones,literature,50000,exhale,bones,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,70,37.1612203294338,36.2361945162393,0.922918104266035,0.0349848684707607,0,1.67454748326358e-10,7.105427357601e-15
