evaluation,rho_soft_ohm_m,rho_lungs_ohm_m,centre_u_mm,centre_v_mm,phi_deg,objective,fem_slope_ohm_per_mm,h_centre_mm,status,failure_code,engine_version,engine_fingerprint,centre_x_mm,centre_y_mm,centre_z_mm,normal_x,normal_y,normal_z,axis_x,axis_y,axis_z,reconstructed_h_vertex_mm
50,5.3646664546649,32,7.87975438606791,10.6547663507263,3.125,26.9812675069024,-0.538943547203191,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
51,5.3646664546649,30.7069468090815,-2.12024561393209,10.6547663507263,3.125,67.4035163094697,-0.665516873572907,32.2159007250251,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,0.11676111905376,-0.0208306506854538,-0.992941551688383,32.2159007250251
52,5.3646664546649,30.7069468090815,17.8797543860679,10.6547663507263,3.125,41.8300987410617,-0.517629482295503,27.9660184345461,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-158.876320931185,-26.6236790688146,-143.282706815564,-0.831654438130123,-0.554405383543131,-0.0313937292602027,0.0693237222646838,-0.0475659140927096,-0.996459585406199,27.9660184345461
53,5.3646664546649,30.7069468090815,7.87975438606791,0.6547663507263,3.125,64.3935003714606,-0.499329554621022,32.819529788795,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-165.107705282454,-18.3922947175458,-133.566804794936,-0.84652004817741,-0.529695403040192,-0.0531656659114102,0.0841793960406941,-0.0345755077925292,-0.995850572898923,32.819529788795
54,5.3646664546649,30.7069468090815,7.87975438606791,20.6547663507263,3.125,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-153.854924270009,-34.6450757299908,-133.197821100793,-0.794963540567231,-0.606317800349784,-0.0202902476035343,0.0687512767324723,-0.0568107487398691,-0.996014960116198,27.4373061448246
55,5.3646664546649,30.7069468090815,7.87975438606791,10.6547663507263,-1.875,31.517222384604,-0.520521052621269,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0336195706594113,0.0283342507516954,-0.999032979787463,30.4849289802345
56,5.3646664546649,30.7069468090815,7.87975438606791,10.6547663507263,8.125,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.135818906888859,-0.112110714946518,-0.984370058527633,30.4849289802345
57,4.9896664546649,30.7069468090815,7.87975438606791,10.6547663507263,3.125,39.8704941178634,-0.498537023282624,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
58,5.7396664546649,30.7069468090815,7.87975438606791,10.6547663507263,3.125,31.7112503759292,-0.582489181353287,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
59,5.3646664546649,29.2069468090815,7.87975438606791,10.6547663507263,3.125,27.0145482580125,-0.542106483454023,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0850428525030482,-0.0420482383390014,-0.995489657852221,30.4849289802345
60,5.3646664546649,30.7069468090815,2.87975438606791,10.6547663507263,3.125,55.4654843109872,-0.638974448845715,31.0380003871802,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.908811698755,-26.5911883012452,-128.432116014015,-0.814632684867477,-0.578606333008998,-0.0398534835050358,0.0799322489064971,-0.0439471271734072,-0.995831052738342,31.0380003871802
61,5.3646664546649,30.7069468090815,12.8797543860679,10.6547663507263,3.125,126.16346671049,-0.3108264886766,29.118100855567,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.293728769932,-26.6860930625147,-138.520178167553,-0.837648678509351,-0.54341566993282,-0.0551733727716789,0.087644965598404,-0.0340194380698695,-0.995570709612665,29.118100855567
62,5.3646664546649,30.7069468090815,7.87975438606791,5.6547663507263,3.125,50.0212757112073,-0.55530245565813,31.5641885533375,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-162.409982326096,-22.5709622674099,-133.519055406494,-0.832588358674677,-0.549683634095511,-0.0681507696725446,0.0993118138726721,-0.0271013343347315,-0.994687227877486,31.5641885533375
63,5.3646664546649,30.7069468090815,7.87975438606791,15.6547663507263,3.125,115.904123194866,-0.748071984982399,28.9473178327025,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-156.79311952312,-30.7068804768796,-133.290067024329,-0.781804180222725,-0.622252016614116,-0.0398076827501748,0.0868346239874094,-0.0454343527053647,-0.995186147246438,28.9473178327025
64,5.3646664546649,30.7069468090815,7.87975438606791,10.6547663507263,0.625,30.8824726173887,-0.520419097912193,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.059387735546225,-0.00686352634990515,-0.998211394882234,30.4849289802345
