state,L_mm,rho1,rho2,branch_index,residual_ohm,within_literature_bounds
inhale,50,5.0393676336525406,3.9355007545577743,0,1.4210854715202004e-14,False
inhale,50,5.0387509643380683,3.9810717055349731,0,-1.4210854715202004e-14,False
inhale,50,5.0381347998039825,4.0271703432545909,0,2.8421709430404007e-14,False
inhale,50,5.0375191713514287,4.0738027780411281,0,-1.4210854715202004e-14,False
inhale,50,5.036904110245052,4.1209751909733017,0,0,False
inhale,50,5.0362896477128967,4.1686938347033546,0,2.8421709430404007e-14,False
inhale,50,5.0356758149463534,4.2169650342858223,0,1.4210854715202004e-14,False
inhale,50,5.0350626431000736,4.2657951880159279,0,2.8421709430404007e-14,False
inhale,50,5.0344501632919227,4.3151907682776525,0,-2.8421709430404007e-14,False
inhale,50,5.033838406602916,4.365158322401661,0,0,False
inhale,50,5.0332274040771647,4.4157044735331255,0,0,False
inhale,50,5.0326171867218301,4.4668359215096327,0,1.4210854715202004e-14,False
inhale,50,5.0320077855070933,4.5185594437492238,0,7.1054273576010019e-14,False
inhale,50,5.0313992313660902,4.5708818961487516,0,-1.4210854715202004e-14,False
inhale,50,5.0307915551949201,4.6238102139926029,0,-4.2632564145606011e-14,False
inhale,50,5.0301847878525878,4.6773514128719809,0,2.8421709430404007e-14,False
inhale,50,5.0295789601609906,4.7315125896148054,0,1.4210854715202004e-14,False
inhale,50,5.0289741029049058,4.7863009232263831,0,4.2632564145606011e-14,False
inhale,50,5.0283702468319804,4.8417236758409938,0,5.6843418860808015e-14,False
inhale,50,5.0277674225153062,4.8977881936844616,0,2.8421709430404007e-14,False
inhale,50,5.0271656573303245,4.9545019080479031,0,1.4210854715202004e-14,False
inhale,50,5.0265649754544919,5.011872336272722,0,5.6843418860808015e-14,False
inhale,50,5.0259654008901844,5.0699070827470445,0,7.1054273576010019e-14,False
inhale,50,5.0253669576021824,5.1286138399136485,0,4.2632564145606011e-14,False
inhale,50,5.024769669517732,5.1880003892896118,0,5.6843418860808015e-14,False
inhale,50,5.0241735605265978,5.2480746024977254,0,9.9475983006414026e-14,False
inhale,50,5.0235786544811463,5.3088444423098844,0,8.5265128291212022e-14,False
inhale,50,5.0229849751964242,5.3703179637025267,0,5.6843418860808015e-14,False
inhale,50,5.022392546450237,5.4325033149243334,0,7.1054273576010019e-14,False
